SCHOOL_YEAR,FIPST,STATENAME,ST,LEA_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,MSTREET1,MSTREET2,MSTREET3,MCITY,MSTATE,MZIP,MZIP4,LSTREET1,LSTREET2,LSTREET3,LCITY,LSTATE,LZIP,LZIP4,PHONE,WEBSITE,SY_STATUS,SY_STATUS_TEXT,UPDATED_STATUS,UPDATED_STATUS_TEXT,EFFECTIVE_DATE,LEA_TYPE,LEA_TYPE_TEXT,OUT_OF_STATE_FLAG,CHARTER_LEA,CHARTER_LEA_TEXT,NOGRADES,G_PK_OFFERED,G_KG_OFFERED,G_1_OFFERED,G_2_OFFERED,G_3_OFFERED,G_4_OFFERED,G_5_OFFERED,G_6_OFFERED,G_7_OFFERED,G_8_OFFERED,G_9_OFFERED,G_10_OFFERED,G_11_OFFERED,G_12_OFFERED,G_13_OFFERED,G_UG_OFFERED,G_AE_OFFERED,GSLO,GSHI,LEVEL,IGOFFERED,OPERATIONAL_SCHOOLS
2023-2024,01,ALABAMA,AL,Alabama School of Fine Arts,01,,AL-207,0100018,1800 Rev Abraham Woods Jr Blvd,,,Birmingham,AL,35203,,1800 Rev Abraham Woods Jr Blvd,,,Birmingham,AL,35203,,(205)252-9241,http://www.asfa.k12.al.us,1,Open,1,Open,07/30/2024,5,State operated agency,No,NOTCHR,Not a charter district,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,07,12,High,As reported,0
2023-2024,01,ALABAMA,AL,Alexander City,01,,AL-102,0100030,375 Lee Street,,,Alexander City,AL,35010,2708,375 Lee Street,,,Alexander City,AL,35010,2708,(256)234-8698,http://375 LEE ST,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,5
2023-2024,01,ALABAMA,AL,Andalusia City,01,,AL-104,0100060,1201 C C Baker Avenue,,,Andalusia,AL,36421,2101,1201 C C Baker Avenue,,,Andalusia,AL,36421,2101,(334)222-3186,http://andalusiacityschools.schoolinsites.com/,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,3
2023-2024,01,ALABAMA,AL,Anniston City,01,,AL-105,0100090,PO Box 1500,,,Anniston,AL,36202,1500,4804 McClellan Boulevard,,,Anniston,AL,36206,,(256)231-5000,http://www.annistonschools.com,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,6
2023-2024,01,ALABAMA,AL,Arab City,01,,AL-106,0100100,750 Arabian Dr NE,,,Arab,AL,35016,1161,750 Arabian Dr NE,,,Arab,AL,35016,1161,(256)586-6011,http://www.arabcityschools.org,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,4
2023-2024,01,ALABAMA,AL,Athens City,01,,AL-107,0100120,455 US Highway 31 North,,,Athens,AL,35611,2653,455 US Highway 31 North,,,Athens,AL,35611,2653,(256)233-6600,http://www.acs-k12.org,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,8
2023-2024,01,ALABAMA,AL,JF Ingram State Technical College,01,,AL-640,0100176,P O Box 220350,,,Deatsville,AL,36022,,5375 Ingram Rd,,,Deatsville,AL,36022,,(334)514-6147,,1,Open,1,Open,07/30/2024,5,State operated agency,No,NOTCHR,Not a charter district,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported,8
2023-2024,01,ALABAMA,AL,Attalla City,01,,AL-109,0100180,101 Case Avenue SE,,,Attalla,AL,35954,3404,101 Case Avenue SE,,,Attalla,AL,35954,3404,(256)459-7017,http://www.attalla.k12.al.us,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,3
2023-2024,01,ALABAMA,AL,Saraland City,01,,AL-187,0100185,4010 Lil Spartan Drive,,,Saraland,AL,36571,3608,4010 Lil Spartan Drive,,,Saraland,AL,36571,,(251)375-5426,http://www.saralandboe.org,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,4
2023-2024,01,ALABAMA,AL,Chickasaw City,01,,AL-121,0100188,P O Box 11493,,,Chickasaw,AL,36611,,201 N Craft HWY,,,Chickasaw,AL,36611,,(251)452-2256,http://www.chickasawschools.com/,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,4
2023-2024,01,ALABAMA,AL,Satsuma City,01,,AL-196,0100189,220 Baker Road,,,Satsuma,AL,36572,2402,220 Baker Road,,,Satsuma,AL,36572,2402,(251)380-8200,http://www.satsumaschools.com,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,2
2023-2024,01,ALABAMA,AL,Alabaster City,01,,AL-103,0100190,10111 Highway 119,,,Alabaster,AL,35007,9796,10111 Highway 119,,,Alabaster,AL,35007,9796,(205)663-8400,http://acsboe.org,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,5
2023-2024,01,ALABAMA,AL,Pelham City,01,,AL-177,0100194,3160 Pelham Parkway,,,Pelham,AL,35124,,3160 Pelham Parkway,,,Pelham,AL,35124,,(205)624-3700,http://www.pelhamcityschools.org,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,4
2023-2024,01,ALABAMA,AL,Pike Road City,01,,AL-186,0100195,9045 Vaughn Road,,,Montgomery,AL,36117,,9045 Vaughn Road,,,Montgomery,AL,36117,,(334)420-5300,http://prs.school,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,4
2023-2024,01,ALABAMA,AL,MAEF Public Charter Schools,01,,AL-800,0100197,3725 AIRPORT BLVD,,,MOBILE,AL,36608,,3725 AIRPORT BLVD,,,MOBILE,AL,36608,,(251)476-0002,http://605 Bel Air Bvd Suite 21,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,2
2023-2024,01,ALABAMA,AL,University Charter School,01,,AL-801,0100199,134 University Drive,,,Livingston,AL,35470,,134 University Drive,,,Livingston,AL,35470,,(205)754-3440,http://www.universitycharterschool.org,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,2
2023-2024,01,ALABAMA,AL,Legacy Prep,01,,AL-803,0100201,1500 Daniel Payne Drive,,,Birmingham,AL,35214,,1500 Daniel Payne Drive,,,Birmingham,AL,35214,,(205)573-0777,http://www.legacyprepal.org,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,1
2023-2024,01,ALABAMA,AL,Gulf Shores City,01,,AL-152,0100202,PO Box 3908,,,Gulf Shores,AL,36547,,300 East 16th Ave,,,Gulf Shores,AL,36542,,(251)968-9873,http://www.gsboe.org,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,3
2023-2024,01,ALABAMA,AL,LEAD Academy,01,,AL-802,0100203,2897 Eastern Blvd,,,Montgomery,AL,36116,1021,2897 Eastern Blvd,,,Montgomery,AL,36116,1021,(334)451-3127,http://www.leadacademyal.org,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,2
2023-2024,01,ALABAMA,AL,i3 Academy,01,,AL-805,0100204,1 55th Place South,,,Birmingham,AL,35212,,1 55th Place South,,,Birmingham,AL,35212,,(205)403-5777,http://www.i3academy.org,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,2
2023-2024,01,ALABAMA,AL,LIFE Academy,01,,AL-807,0100207,2048 West Fairview Avenue,,,Montgomery,AL,36108,,2048 West Fairview Avenue,,,Montgomery,AL,36108,,(646)462-8633,http://www.LIFEAcademyAL.com,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,1
2023-2024,01,ALABAMA,AL,Breakthrough Charter School,01,,AL-808,0100208,1101 Washington Street,,,Marion,AL,35756,,1101 Washington Street,,,Marion,AL,35756,,(559)696-4461,http://www.breakthroughcharterschool.org,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,1
2023-2024,01,ALABAMA,AL,Auburn City,01,,AL-110,0100210,PO Box 3270,,,Auburn,AL,36831,3270,855 E Samford Ave,,,Auburn,AL,36830,6146,(334)887-2100,http://www.auburnschools.org,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,14
2023-2024,01,ALABAMA,AL,Magic City Acceptance Academy,01,,AL-810,0100211,75 Bagby Drive,,,Homewood,AL,35209,,75 Bagby Drive,,,Homewood,AL,35209,,(205)961-3204,http://www.magiccityacceptanceacademy.org/,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,1
2023-2024,01,ALABAMA,AL,Alabama School of Cyber Technology and Engineering,01,,AL-209,0100212,229 Wynn Drive NW,,,Huntsville,AL,35805,,229 Wynn Drive NW,,,Huntsville,AL,35805,,(256)489-3700,http://www.ascte.org,1,Open,1,Open,07/30/2024,5,State operated agency,No,NOTCHR,Not a charter district,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported,0
2023-2024,01,ALABAMA,AL,Alabama Aerospace and Aviation,01,,AL-812,0100213,1414 2nd Avenue North,,,Bessemer,AL,35020,,1414 2nd Avenue North,,,Bessemer,AL,35020,,(205)538-0702,http://alaahs.org,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,09,10,Secondary,As reported,1
2023-2024,01,ALABAMA,AL,Autauga County,01,,AL-001,0100240,153 W 4th St,,,Prattville,AL,36067,3011,153 W 4th St,,,Prattville,AL,36067,3011,(334)365-5706,http://acboe.net,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,15
2023-2024,01,ALABAMA,AL,Baldwin County,01,,AL-002,0100270,2600 North Hand Ave,,,Bay Minette,AL,36507,4180,2600 North Hand Ave,,,Bay Minette,AL,36507,4180,(251)937-0308,http://www.bcbe.org,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,44
2023-2024,01,ALABAMA,AL,Barbour County,01,,AL-003,0100300,168 Western Bypass,,,Clayton,AL,36016,0429,168 Western Bypass,,,Clayton,AL,36016,0429,(334)367-8280,http://www.barbourcountyschools.org,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,3
2023-2024,01,ALABAMA,AL,Bessemer City,01,,AL-113,0100330,1621 5th Ave N,,,Bessemer,AL,35020,,1621 5th Ave N,,,Bessemer,AL,35020,,(205)432-3000,http://www.bessk12.org,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,9
2023-2024,01,ALABAMA,AL,Bibb County,01,,AL-004,0100360,721 Walnut Street,,,Centreville,AL,35042,2277,721 Walnut Street,,,Centreville,AL,35042,2277,(205)926-9881,http://www.bibbed.org,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,9
2023-2024,01,ALABAMA,AL,Birmingham City,01,,AL-114,0100390,PO Box 10007,,,Birmingham,AL,35202,0007,2015 Park Place North,,,Birmingham,AL,35203,0007,(205)231-4220,http://www.bhamcityschools.org,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,49
2023-2024,01,ALABAMA,AL,Blount County,01,,AL-005,0100420,415 5th Avenue East,,,Oneonta,AL,35121,,415 5th Avenue East,,,Oneonta,AL,35121,,(205)775-1950,http://www.blountboe.net,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,17
2023-2024,01,ALABAMA,AL,Brewton City,01,,AL-116,0100450,811 Belleville Ave,,,Brewton,AL,36426,1754,811 Belleville Ave,,,Brewton,AL,36426,1754,(251)867-8400,http://www.brewtoncityschools.org/,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,3
2023-2024,01,ALABAMA,AL,Bullock County,01,,AL-006,0100480,108 Hardaway Avenue,,,Union Springs,AL,36089,0231,108 Hardaway Avenue,,,Union Springs,AL,36089,0231,(334)513-1416,http://108 Hardaway Avenue West,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,4
2023-2024,01,ALABAMA,AL,Butler County,01,,AL-007,0100510,211 School Highlands Rd,,,Greenville,AL,36037,3213,211 School Highlands Road,,,Greenville,AL,36037,1833,(334)382-2665,http://www.butlerco.k12.al.us,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,7
2023-2024,01,ALABAMA,AL,Calhoun County,01,,AL-008,0100540,4400 McClellan Blvd,,,Anniston,AL,36206,2809,4400 McClellan Blvd,,,Anniston,AL,36206,2809,(256)741-7400,http://www.calhouncountyschools.com,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,20
2023-2024,01,ALABAMA,AL,Chambers County,01,,AL-009,0100600,1298  AVC Drive,,,Lafayette,AL,36862,,1298  AVC Drive,,,Lafayette,AL,36862,,(334)864-9343,http://www.chambersk12.org,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,10
2023-2024,01,ALABAMA,AL,Cherokee County,01,,AL-010,0100630,130 E Main St,,,Centre,AL,35960,1599,130 E Main St,,,Centre,AL,35960,1599,(256)927-3362,http://www.cherokeek12.org,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,8
2023-2024,01,ALABAMA,AL,Chilton County,01,,AL-011,0100660,1705 Lay Dam Rd,,,Clanton,AL,35045,2032,1705 Lay Dam Rd,,,Clanton,AL,35045,,(205)280-3000,http://www.chilton.k12.al.us,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,14
2023-2024,01,ALABAMA,AL,Choctaw County,01,,AL-012,0100690,107 Tom Orr Dr,,,Butler,AL,36904,3504,107 Tom Orr Dr,,,Butler,AL,36904,3504,(205)459-3031,http://www.choctawal.org/,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,4
2023-2024,01,ALABAMA,AL,Clarke County,01,,AL-013,0100720,155 W Cobb St,,,Grove Hill,AL,36451,3097,155 W Cobb St,,,Grove Hill,AL,36451,3097,(251)250-2155,http://www.clarkecountyschools.org,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,7
2023-2024,01,ALABAMA,AL,Clay County,01,,AL-014,0100750,PO Box 278,,,Ashland,AL,36251,0278,62 Court Square,,,Ashland,AL,36251,4108,(256)396-1475,http://www.claycoboe.org,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,5
2023-2024,01,ALABAMA,AL,Cleburne County,01,,AL-015,0100780,PO Box 8,,,Heflin,AL,36264,2207,141 Davenport Drive,,,Heflin,AL,36264,2207,(256)463-5624,http://www.cleburneschools.net,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,9
